iter	Logloss
0	0.6609063192
1	0.6316772323
2	0.6038954443
3	0.5786425201
4	0.5549026868
5	0.5327745169
6	0.5123724394
7	0.4939756386
8	0.4769549068
9	0.4604746547
10	0.4467118232
11	0.4324348274
12	0.4197487469
13	0.4077682482
14	0.3967590468
15	0.3867405689
16	0.3775938921
17	0.3689487105
18	0.3615883948
19	0.3541942971
20	0.3476716529
21	0.3415558373
22	0.335700812
23	0.3300742655
24	0.3256733356
25	0.3207406395
26	0.3165115946
27	0.3126048923
28	0.3085915347
29	0.3051019523
30	0.3016751316
31	0.2991067786
32	0.2961338051
33	0.2935244902
34	0.2910772022
35	0.289004593
36	0.2868230096
37	0.2848397833
38	0.2828860679
39	0.2811912856
40	0.2796495743
41	0.2779917239
42	0.2766256563
43	0.2751744767
44	0.2739202434
45	0.272664976
46	0.2714386564
47	0.2703849616
48	0.2693706386
49	0.268334463
50	0.267464446
51	0.2666032899
52	0.2658854655
53	0.2650490405
54	0.2642866014
55	0.2636751641
56	0.2629710468
57	0.2622658653
58	0.2616534672
59	0.2610449801
60	0.2604656122
61	0.2600092931
62	0.2595394207
63	0.2591499962
64	0.2587173037
65	0.2583329266
66	0.2578992007
67	0.2574594024
68	0.2570617315
69	0.2567077112
70	0.2564104958
71	0.2560814994
72	0.2557671511
73	0.2554849051
74	0.2552424623
75	0.2549565767
76	0.2546175226
77	0.2543960646
78	0.2541201942
79	0.2539005761
80	0.2536475742
81	0.2534376381
82	0.2532203266
83	0.2530716453
84	0.2528656389
85	0.2526890507
86	0.2525312222
87	0.2523523031
88	0.2521841428
89	0.2520126082
90	0.2519066393
91	0.2517431671
92	0.2515761518
93	0.251421909
94	0.2512750307
95	0.2511254131
96	0.2509836232
97	0.2508891676
98	0.2507575586
99	0.2506120178
100	0.2504686508
101	0.2503612755
102	0.250224483
103	0.2501042847
104	0.2500127464
105	0.249905385
106	0.2497751027
107	0.2496788418
108	0.2495518158
109	0.2494333206
110	0.2493629572
111	0.2492601601
112	0.2491596115
113	0.2490746319
114	0.2489944096
115	0.2489152976
116	0.2488141801
117	0.2487131434
118	0.248612546
119	0.2485370793
120	0.2484708004
121	0.2483826545
122	0.2483150149
123	0.2482379602
124	0.2481621783
125	0.2480781925
126	0.2480116503
127	0.2479464732
128	0.2478691625
129	0.2477899392
130	0.2477189133
131	0.2476416575
132	0.2475654375
133	0.2474692448
134	0.2473868149
135	0.247329442
136	0.2472567985
137	0.2471978657
138	0.2471284854
139	0.2470576641
140	0.2470048994
141	0.246950839
142	0.2469020904
143	0.2468411253
144	0.2467702849
145	0.2467024871
146	0.2466327812
147	0.2465605834
148	0.2465290499
149	0.2464689469
150	0.2463923993
151	0.2463406344
152	0.2462731061
153	0.2462257546
154	0.2461825586
155	0.2461399529
156	0.2460920461
157	0.2460316703
158	0.2459945634
159	0.245922233
160	0.2458517643
161	0.2457938218
162	0.2457425256
163	0.2457049363
164	0.2456547214
165	0.245601193
166	0.2455529962
167	0.245497902
168	0.2454240609
169	0.2453831215
170	0.2453325308
171	0.2452879656
172	0.2452419709
173	0.2451977202
174	0.2451486582
175	0.2450959677
176	0.2450559487
177	0.2450058925
178	0.2449536225
179	0.2449132942
180	0.2448667236
181	0.2448108883
182	0.244758078
183	0.2447235926
184	0.2446805362
185	0.2446511768
186	0.2446194653
187	0.2445826854
188	0.2445416868
189	0.2445011245
190	0.2444625457
191	0.2444250294
192	0.2443850467
193	0.2443560668
194	0.2443283472
195	0.2442893335
196	0.2442567421
197	0.2442267407
198	0.2441724509
199	0.2441252157
200	0.2440752307
201	0.244008254
202	0.2439681238
203	0.2439345347
204	0.2439112179
205	0.2438747329
206	0.2438330189
207	0.2437912861
208	0.243741751
209	0.2437147137
210	0.2436725706
211	0.2436494294
212	0.2435949862
213	0.2435576274
214	0.2435150197
215	0.2434868677
216	0.2434484927
217	0.2434097898
218	0.2433760759
219	0.2433427767
220	0.2433071317
221	0.2432638356
222	0.2432445198
223	0.243213407
224	0.243173945
225	0.2431329292
226	0.2431065957
227	0.2430670388
228	0.2430229156
229	0.2429975871
230	0.242972235
231	0.2429256075
232	0.2428840763
233	0.2428499132
234	0.2428050459
235	0.2427696466
236	0.2427356592
237	0.2427042023
238	0.2426760186
239	0.2426438589
240	0.2426042866
241	0.2425758185
242	0.2425508237
243	0.2425235291
244	0.2424897794
245	0.2424451394
246	0.2424094927
247	0.2423523236
248	0.2423010627
249	0.2422745879
250	0.2422354044
251	0.2421964935
252	0.2421396662
253	0.2421029205
254	0.2420762386
255	0.2420445642
256	0.2420015248
257	0.2419698964
258	0.2419412587
259	0.2419107385
260	0.2418762522
261	0.2418353086
262	0.2417876658
263	0.2417542861
264	0.241708315
265	0.2416517828
266	0.241618305
267	0.2415811609
268	0.2415473289
269	0.2415060311
270	0.2414721947
271	0.2414285028
272	0.2413871967
273	0.2413477747
274	0.2413109964
275	0.2412902242
276	0.2412499428
277	0.2412234474
278	0.2411867903
279	0.2411337095
280	0.2411082443
281	0.2410775432
282	0.2410521903
283	0.24102281
284	0.2409752717
285	0.2409357687
286	0.240902643
287	0.2408807606
288	0.2408476923
289	0.2407985444
290	0.2407644024
291	0.2407287413
292	0.2406779947
293	0.2406455403
294	0.2406052699
295	0.2405679843
296	0.2405364579
297	0.2405116294
298	0.2404749355
299	0.2404351012
300	0.2404003665
