iter	Passed	Remaining
0	77	76929
1	172	86251
2	257	85717
3	339	84532
4	417	82987
5	500	82921
6	582	82612
7	663	82298
8	746	82166
9	830	82265
10	910	81899
11	999	82288
12	1080	82057
13	1162	81895
14	1242	81594
15	1321	81281
16	1403	81160
17	1485	81025
18	1565	80824
19	1649	80807
20	1731	80720
21	1811	80528
22	1890	80290
23	1969	80102
24	2025	78999
25	2110	79043
26	2192	79009
27	2273	78938
28	2356	78892
29	2438	78831
30	2521	78817
31	2599	78645
32	2682	78601
33	2764	78538
34	2846	78488
35	2929	78434
36	3014	78464
37	3094	78337
38	3186	78509
39	3272	78549
40	3351	78398
41	3437	78400
42	3517	78276
43	3600	78231
44	3683	78177
45	3767	78139
46	3849	78049
47	3934	78029
48	4015	77932
49	4095	77817
50	4175	77690
51	4258	77635
52	4341	77573
53	4423	77489
54	4507	77442
55	4587	77331
56	4670	77271
57	4756	77255
58	4840	77202
59	4922	77112
60	5009	77120
61	5089	76997
62	5171	76920
63	5251	76801
64	5334	76732
65	5417	76665
66	5504	76646
67	5586	76561
68	5669	76492
69	5753	76441
70	5837	76376
71	5919	76290
72	6000	76202
73	6083	76124
74	6165	76044
75	6248	75969
76	6335	75940
77	6417	75856
78	6500	75781
79	6587	75753
80	6668	75653
81	6749	75558
82	6830	75469
83	6911	75373
84	7004	75404
85	7096	75421
86	7180	75353
87	7262	75263
88	7344	75182
89	7427	75097
90	7507	74991
91	7592	74930
92	7673	74840
93	7756	74755
94	7840	74691
95	7921	74595
96	8005	74525
97	8090	74462
98	8171	74370
99	8258	74330
100	8343	74266
101	8427	74190
102	8509	74106
103	8593	74038
104	8675	73946
105	8760	73888
106	8843	73803
107	8927	73732
108	9014	73689
109	9098	73612
110	9181	73532
111	9264	73450
112	9351	73403
113	9432	73311
114	9515	73230
115	9596	73130
116	9678	73042
117	9762	72971
118	9848	72914
119	9929	72817
120	10017	72768
121	10099	72681
122	10181	72594
123	10264	72511
124	10345	72418
125	10427	72329
126	10517	72294
127	10602	72229
128	10687	72160
129	10773	72097
130	10857	72026
131	10941	71949
132	11027	71888
133	11110	71806
134	11196	71738
135	11278	71648
136	11362	71573
137	11443	71482
138	11526	71397
139	11608	71310
140	11690	71221
141	11774	71146
142	11856	71057
143	11937	70963
144	12022	70890
145	12106	70816
146	12190	70737
147	12274	70662
148	12355	70566
149	12434	70464
150	12519	70389
151	12603	70316
152	12687	70236
153	12768	70144
154	12852	70064
155	12934	69977
156	13015	69885
157	13100	69815
158	13181	69722
159	13263	69635
160	13349	69565
161	13433	69489
162	13519	69419
163	13599	69322
164	13681	69236
165	13764	69152
166	13846	69068
167	13932	68997
168	14015	68916
169	14096	68824
170	14177	68731
171	14256	68631
172	14337	68537
173	14418	68445
174	14500	68359
175	14583	68277
176	14664	68185
177	14747	68103
178	14829	68018
179	14913	67937
